"Label","Source","Target","Exists","UnderCommonRoot","Action","RobocopyCode","SourceFilesSeenCapped","SourceSizeMBSeenCapped","TargetFilesSeenCapped","TargetSizeMBSeenCapped","Log","Error"
"CopilotChat_GlobalStorage","C:\Users\IgorK\AppData\Roaming\Code\User\globalStorage\github.copilot-chat","J:\_AI_CHATS_ОБЩИЕ\_SOURCES\CopilotChat_GlobalStorage","False","False","missing-source","","0","0","0","0","J:\_AI_CHATS_ОБЩИЕ\_AUDIT\ROBOCOPY_CopilotChat_GlobalStorage_20260511_183827.log",""
"Continue_GlobalStorage","C:\Users\IgorK\AppData\Roaming\Code\User\globalStorage\continue.continue","J:\_AI_CHATS_ОБЩИЕ\_SOURCES\Continue_GlobalStorage","False","False","missing-source","","0","0","0","0","J:\_AI_CHATS_ОБЩИЕ\_AUDIT\ROBOCOPY_Continue_GlobalStorage_20260511_183827.log",""
"Cline_GlobalStorage","C:\Users\IgorK\AppData\Roaming\Code\User\globalStorage\saoudrizwan.claude-dev","J:\_AI_CHATS_ОБЩИЕ\_SOURCES\Cline_GlobalStorage","False","False","missing-source","","0","0","0","0","J:\_AI_CHATS_ОБЩИЕ\_AUDIT\ROBOCOPY_Cline_GlobalStorage_20260511_183827.log",""
"Roo_GlobalStorage","C:\Users\IgorK\AppData\Roaming\Code\User\globalStorage\rooveterinaryinc.roo-cline","J:\_AI_CHATS_ОБЩИЕ\_SOURCES\Roo_GlobalStorage","False","False","missing-source","","0","0","0","0","J:\_AI_CHATS_ОБЩИЕ\_AUDIT\ROBOCOPY_Roo_GlobalStorage_20260511_183827.log",""
"Cursor_User_History","C:\Users\IgorK\AppData\Roaming\Cursor\User\History","J:\_AI_CHATS_ОБЩИЕ\_SOURCES\Cursor_User_History","False","False","missing-source","","0","0","0","0","J:\_AI_CHATS_ОБЩИЕ\_AUDIT\ROBOCOPY_Cursor_User_History_20260511_183827.log",""
"Cursor_User_GlobalStorage","C:\Users\IgorK\AppData\Roaming\Cursor\User\globalStorage","J:\_AI_CHATS_ОБЩИЕ\_SOURCES\Cursor_User_GlobalStorage","False","False","missing-source","","0","0","0","0","J:\_AI_CHATS_ОБЩИЕ\_AUDIT\ROBOCOPY_Cursor_User_GlobalStorage_20260511_183827.log",""
"Cursor_User_WorkspaceStorage","C:\Users\IgorK\AppData\Roaming\Cursor\User\workspaceStorage","J:\_AI_CHATS_ОБЩИЕ\_SOURCES\Cursor_User_WorkspaceStorage","False","False","missing-source","","0","0","0","0","J:\_AI_CHATS_ОБЩИЕ\_AUDIT\ROBOCOPY_Cursor_User_WorkspaceStorage_20260511_183827.log",""
"Windsurf_User_History","C:\Users\IgorK\AppData\Roaming\Windsurf\User\History","J:\_AI_CHATS_ОБЩИЕ\_SOURCES\Windsurf_User_History","False","False","missing-source","","0","0","0","0","J:\_AI_CHATS_ОБЩИЕ\_AUDIT\ROBOCOPY_Windsurf_User_History_20260511_183827.log",""
"Windsurf_User_GlobalStorage","C:\Users\IgorK\AppData\Roaming\Windsurf\User\globalStorage","J:\_AI_CHATS_ОБЩИЕ\_SOURCES\Windsurf_User_GlobalStorage","False","False","missing-source","","0","0","0","0","J:\_AI_CHATS_ОБЩИЕ\_AUDIT\ROBOCOPY_Windsurf_User_GlobalStorage_20260511_183827.log",""
"Windsurf_User_WorkspaceStorage","C:\Users\IgorK\AppData\Roaming\Windsurf\User\workspaceStorage","J:\_AI_CHATS_ОБЩИЕ\_SOURCES\Windsurf_User_WorkspaceStorage","False","False","missing-source","","0","0","0","0","J:\_AI_CHATS_ОБЩИЕ\_AUDIT\ROBOCOPY_Windsurf_User_WorkspaceStorage_20260511_183827.log",""
"OmniRoute_FreeClaudeCode","C:\OmniRoute_FreeClaudeCode","J:\_AI_CHATS_ОБЩИЕ\_SOURCES\OmniRoute_FreeClaudeCode","True","False","copied-local-non-delete","1","1","0","1","0","J:\_AI_CHATS_ОБЩИЕ\_AUDIT\ROBOCOPY_OmniRoute_FreeClaudeCode_20260511_183827.log",""
